,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1528856331.97,0.5279923689603366,-0.815917548635122,0.1821525558639062,0.9999279714025096,-0.004396360207841456,-0.010858646914180405,0.0025774826384567617
1528856332.02,0.5281494951331921,-0.8158259003261406,0.1821258291516573,0.9999288955474976,-0.004232098614081191,-0.010829390050590597,0.002605548455590702
1528856332.07,0.5278927221689592,-0.8160450984267248,0.1821367405088147,0.9999271816683755,-0.0043389034088128255,-0.01092665809727906,0.0026796132968501672
1528856332.12,0.5279190230246237,-0.8160417155429701,0.18219384095683422,0.9999277186414284,-0.004387104182232052,-0.010861323754301344,0.0026751425016788345
1528856332.17,0.5279673455456935,-0.8160473128544382,0.18216651355643024,0.9999278408751809,-0.0043369540436341975,-0.010858444857492947,0.002730577948777314
1528856332.22,0.5280333141293546,-0.815971132457603,0.18218269201485543,0.999928808157365,-0.004265335672572377,-0.010802079196905432,0.0027075632051190694
1528856332.27,0.5277638712991778,-0.8159964540569046,0.18216441895206884,0.9999269766889348,-0.004391496758876993,-0.010943548985454682,0.00262085799193706
1528856332.32,0.5279306418884441,-0.8158579270555192,0.18217241008078547,0.9999280233341299,-0.004208208587978555,-0.010921848380484744,0.0026112660053058583
1528856332.37,0.527927527648166,-0.8158720271420397,0.18215166873740926,0.9999275906364934,-0.004204228855842918,-0.010951627287321495,0.002657630652959914
1528856332.42,0.5279964741617642,-0.8158764189797068,0.1822290842836061,0.999928342850941,-0.004099822012946378,-0.010907488368274447,0.002716934026766994
1528856332.47,0.5278993579170681,-0.8159155607899742,0.18216324728784936,0.9999270388121566,-0.0041713267595589396,-0.011009281166060718,0.0026795408395602275
1528856332.52,0.5279092139764824,-0.815957302368305,0.1822271258637847,0.9999272175964581,-0.004238789347213985,-0.010962192904629724,0.002693658587246788
1528856332.57,0.5279137534983667,-0.8159911553760784,0.18219368291597451,0.9999270964193279,-0.004252996380149976,-0.0109613050628711,0.002720297596471417
1528856332.62,0.5278900957261677,-0.8159750216991061,0.18221894244365636,0.9999267724370569,-0.004191152817858205,-0.011009999919354635,0.0027322080745352056
1528856332.67,0.5277357104383821,-0.8160400918909886,0.18214139264248416,0.9999258454226798,-0.004333904804223835,-0.011054419397228506,0.002671508885711668
1528856332.72,0.5276230655131124,-0.8161521298428851,0.18217463862154806,0.9999247712963614,-0.004470907700416243,-0.01107990644244076,0.0027268059315274755
1528856332.77,0.5275572196939247,-0.8160995941803697,0.18210064117650182,0.9999232587320027,-0.004406591232097479,-0.011243925643084084,0.0027008852417425623
1528856332.82,0.5273240773627752,-0.8163477340886046,0.1821470577103794,0.999921550872413,-0.004691124444814206,-0.011259743420151524,0.0027741596786081324
1528856332.87,0.5273694651407012,-0.8165538095633195,0.1822492832113088,0.9999226285013066,-0.0048654838216910514,-0.011068050187525196,0.002854534067591172
1528856332.92,0.5274944746086679,-0.8165151642699879,0.18238261700116667,0.9999233077552148,-0.004859715093080922,-0.010999547298686322,0.0028861626017029638
1528856332.97,0.5277138659277127,-0.8165634372131935,0.18247123074500052,0.9999251272632395,-0.004821555440149412,-0.0108310152118341,0.0029503981245915774
1528856333.02,0.527901756702436,-0.8168282553487427,0.18272089966904484,0.99992652674669,-0.004969103370361012,-0.010570314900482823,0.0032168127595170325
1528856333.07,0.528148909165933,-0.8167104495360452,0.182946610253273,0.9999285618068,-0.004799511884500992,-0.010442448938586667,0.0032601662612825356
1528856333.12,0.5281983272290843,-0.8166099711791324,0.18292469202457146,0.9999283891580115,-0.004771581877395354,-0.010488716785333975,0.003200340792266105
1528856333.17,0.5283213961271079,-0.816768386382127,0.18306026872261072,0.9999294537606738,-0.0047368216718933626,-0.010348741559907762,0.00336468111924569
1528856333.22,0.52836034142452,-0.8168620762218973,0.18315942670008745,0.9999301199425,-0.004621092861602521,-0.010284602233232652,0.003512225940483496
1528856333.27,0.52848443129128,-0.8169668359119145,0.18329676691886926,0.9999316204081877,-0.004602052379276434,-0.010091548840237155,0.003645526979071569
